"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN2DBB4FBEBEAAE5DA,Roofers Preston,"Private Address in Fishwick, England",,https://www.bing.com/maps?cp=53.76652145385742%7E-2.6915175914764404&lvl=16.0&q=Roofers%20Preston%20%2C%20Private%20Address%20in%20Fishwick%2C%20England,53.76652145,-2.691517591,,,Home service,Closed · Opens Mon 07:00,https://millersroofingpreston.co.uk/,01772 970548,,,,,
ypid:YNDB1269D66E481724,C M Roofing Services,"Private Address in Preston, England",,https://www.bing.com/maps?cp=53.78654861450195%7E-2.7438347339630127&lvl=16.0&q=C%20M%20Roofing%20Services%20%2C%20Private%20Address%20in%20Preston%2C%20England,53.78654861,-2.743834734,,,Home service,Closed · Opens tomorrow 08:00,http://www.cmroofing.org/,07867 970767,"info@cmroofing.org,hr@cmrd.co.th",,,,
ypid:YNDC35DCA0D033C690,Melling Roofing,"2 Fowler St, Preston PR2 3QD",,https://www.bing.com/maps?cp=53.77728271484375%7E-2.7174367904663086&lvl=16.0&q=Melling%20Roofing%20%2C%202%20Fowler%20St%2C%20Preston%20PR2%203QD,53.77728271,-2.71743679,5,Yell (13),Home service,Open 24 hours,http://www.mellingroofing.co.uk/,01772 461878,mellingmark@hotmail.com,,,,
ypid:YNB1CA3AC63A66B0F9,JSR Roofing Blackpool | Lytham | Preston,"Private Address in Preston, England",https://www.bing.com/th?id=OLC.grE6tckcrJnOLw480x360&pid=Local,https://www.bing.com/maps?cp=53.824222564697266%7E-2.8463637828826904&lvl=16.0&q=JSR%20Roofing%20Blackpool%20%7C%20Lytham%20%7C%20Preston%20%2C%20Private%20Address%20in%20Preston%2C%20England,53.82422256,-2.846363783,,,Home service,Open · Closes 20:00,https://jsr-roofing.co.uk/,01253 807695,,"https://www.facebook.com/jsrroofingblackpool,https://twitter.com/jsrroofing",https://www.facebook.com/jsrroofingblackpool,,https://twitter.com/jsrroofing
ypid:YN52A5FFC0B04C15B4,Millers Roofing Ltd,"The Watermark Studios 9-15 Ribbleton Lane, Fishwick",https://www.bing.com/th?id=OLC.XbuwWc4lvK6KnQ480x360&pid=Local,https://www.bing.com/maps?cp=53.762542724609375%7E-2.689556837081909&lvl=16.0&q=Millers%20Roofing%20Ltd%20%2C%20The%20Watermark%20Studios%209-15%20Ribbleton%20Lane%2C%20Fishwick,53.76254272,-2.689556837,5,Yell (67),Home service,Closed · Opens Mon 09:00,http://www.roofingpreston.co.uk/,01772 970548,info@millersroofingltd.co.uk,,,,
ypid:YNA256D47B07BE5A51,Ward and Son Roofing,"50 Saint Mark's Rd, Preston PR1 8TL",,https://www.bing.com/maps?cp=53.76420974731445%7E-2.7214155197143555&lvl=16.0&q=Ward%20and%20Son%20Roofing%20%2C%2050%20Saint%20Mark's%20Rd%2C%20Preston%20PR1%208TL,53.76420975,-2.72141552,,,Home service,,http://prestonroofingservices.co.uk/,01772 735125,,https://www.facebook.com/ward-and-son-roofing-256017054783255/,https://www.facebook.com/ward-and-son-roofing-256017054783255/,,
ypid:YN335BBFFEB319F511,Andrew Broster Roofing Limited,"3 Sycamore Ave, Preston PR3 1FR",https://www.bing.com/th?id=OLC.BJpj51rRaE+o0A480x360&pid=Local,https://www.bing.com/maps?cp=53.90612030029297%7E-2.781412124633789&lvl=16.0&q=Andrew%20Broster%20Roofing%20Limited%20%2C%203%20Sycamore%20Ave%2C%20Preston%20PR3%201FR,53.9061203,-2.781412125,,,Home service,,http://andrewbroster.co.uk/,01995 602291,"andrewbrosterandson@gmail.com,andrewbrosterandsons@gmail.com",,,,
ypid:YNB0E47E1D1945ED5A,Preston Roofcare Ltd - Roofing Services Preston – Professional Roofers,"8 Glenluce Dr, Preston PR1 5TB",https://www.bing.com/th?id=OLC.QlbNbayPOGvC6A480x360&pid=Local,https://www.bing.com/maps?cp=53.76518630981445%7E-2.6545774936676025&lvl=16.0&q=Preston%20Roofcare%20Ltd%20-%20Roofing%20Services%20Preston%20%E2%80%93%20Professional%20Roofers%20%2C%208%20Glenluce%20Dr%2C%20Preston%20PR1%205TB,53.76518631,-2.654577494,,,Home service,Open 24 hours,https://roofingservicespreston.co.uk/,07985 460338,"ahbihllc@gmail.com,info@roofingservicespreston.co.uk","https://twitter.com/roofcarep,https://www.facebook.com/roof-care-preston-347133232686644,https://www.youtube.com/@prestonyt,https://www.instagram.com/prestonplayz/reels/",https://www.facebook.com/roof-care-preston-347133232686644,https://www.instagram.com/prestonplayz/reels/,https://twitter.com/roofcarep
ypid:YN8C29B61767A0063B,Classic Roofing & Building Ltd,"The Firs, Moss House Lane, Preston PR4 3PE",https://www.bing.com/th?id=OLC.Q2XL8SOdltTOYA480x360&pid=Local,https://www.bing.com/maps?cp=53.78769302368164%7E-2.969492197036743&lvl=16.0&q=Classic%20Roofing%20%26%20Building%20Ltd%20%2C%20The%20Firs%2C%20Moss%20House%20Lane%2C%20Preston%20PR4%203PE,53.78769302,-2.969492197,,,Home service,Open 24 hours,http://classicroofingbuilding.co.uk/,0800 747 1821,,"https://www.facebook.com/classicroofingbuilding,https://www.instagram.com/classicroofingbuilding/",https://www.facebook.com/classicroofingbuilding,https://www.instagram.com/classicroofingbuilding/,
ypid:YN51FF1DAB6473BD00,Redline UPVC,"City House, 131 Friargate, Preston PR1 2EF",https://www.bing.com/th?id=OLC.jnFsbGnX8Z8Xsw480x360&pid=Local,https://www.bing.com/maps?cp=53.760780334472656%7E-2.7039735317230225&lvl=16.0&q=Redline%20UPVC%20%2C%20City%20House%2C%20131%20Friargate%2C%20Preston%20PR1%202EF,53.76078033,-2.703973532,,,Home service,Open · Closes 22:30,https://redlineupvc.co.uk/,07903 937995,info@redlineupvc.co.uk,"https://www.facebook.com/profile.php?id=100048098472165,https://x.com/redline_upvc",https://www.facebook.com/profile.php?id=100048098472165,,https://x.com/redline_upvc
ypid:YND11A8DD13146D311,Roof-Craft Roofing,"Private Address in Blackburn, England",https://www.bing.com/th?id=OLC.YBoZT1lzwxyiOw480x360&pid=Local,https://www.bing.com/maps?cp=53.86116409301758%7E-2.551269292831421&lvl=16.0&q=Roof-Craft%20Roofing%20%2C%20Private%20Address%20in%20Blackburn%2C%20England,53.86116409,-2.551269293,,,Home service,Closes in 13 mins,https://roofcraftroofing.co.uk/,07547 930749,"roofcraft2000@yahoo.com,info@roofcraftroofing.co.uk,helpdesk@nfrc.co.uk",https://www.facebook.com/roofcraftroofing,https://www.facebook.com/roofcraftroofing,,
ypid:YND633343A6ED66C32,Preston Roofer,"Private Address in Preston, England",https://www.bing.com/th?id=OLC.U3yZO9eMfEeH1g480x360&pid=Local,https://www.bing.com/maps?cp=53.689483642578125%7E-2.7961201667785645&lvl=16.0&q=Preston%20Roofer%20%2C%20Private%20Address%20in%20Preston%2C%20England,53.68948364,-2.796120167,,,Home service,Closed · Opens Mon 08:00,http://www.preston-roofer.co.uk/,07960 944672,info@prroofingservices.co.uk,"https://www.facebook.com/prestonroofer/,https://twitter.com/prestonroofer,https://www.youtube.com/watch?v=oxcotd7af9k",https://www.facebook.com/prestonroofer/,,https://twitter.com/prestonroofer
ypid:YN81592095A25B68F1,Redline Roofing and Fascias Leyland,"Oak House, 317 Golden Hill Ln, Leyland PR25 2YJ",,https://www.bing.com/maps?cp=53.69865417480469%7E-2.712644577026367&lvl=16.0&q=Redline%20Roofing%20and%20Fascias%20Leyland%20%2C%20Oak%20House%2C%20317%20Golden%20Hill%20Ln%2C%20Leyland%20PR25%202YJ,53.69865417,-2.712644577,,,Home service,Open · Closes 20:30,http://redlineupvc.co.uk/,07903 937995,"info@redlineupvc.co.uk,altoroofing@hotmail.co.uk,info@flintshireroofing.com,info@redlinegroup.com","https://www.facebook.com/people/redline-upvc/100048098472165/,https://x.com/redline_upvc",https://www.facebook.com/people/redline-upvc/100048098472165/,,https://x.com/redline_upvc
ypid:YN214152736F7517ED,SHS Roofing Contractors | Blackpool,"Roseleigh Old House Lane, Blackpool & Fylde Industrial Estate",https://www.bing.com/th?id=OLC.6YJOLYOMCtg0Fg480x360&pid=Local,https://www.bing.com/maps?cp=53.790252685546875%7E-2.9932544231414795&lvl=16.0&q=SHS%20Roofing%20Contractors%20%7C%20Blackpool%20%2C%20Roseleigh%20Old%20House%20Lane%2C%20Blackpool%20%26%20Fylde%20Industrial%20Estate,53.79025269,-2.993254423,,,Home service,Closed · Opens Mon 07:00,https://shsroofing.co.uk/,01253 987179,,"https://www.facebook.com/leadroofer/,https://www.instagram.com/lead_roofer/?r=nametag",https://www.facebook.com/leadroofer/,https://www.instagram.com/lead_roofer/?r=nametag,
ypid:YN93FF5A6A5C234DB9,Lytham St Annes Roofing Contractors,"31 Ilkley Ave, Lytham St Anne's FY8 3QZ",,https://www.bing.com/maps?cp=53.75126647949219%7E-2.9998438358306885&lvl=16.0&q=Lytham%20St%20Annes%20Roofing%20Contractors%20%2C%2031%20Ilkley%20Ave%2C%20Lytham%20St%20Anne's%20FY8%203QZ,53.75126648,-2.999843836,,,Home service,Closed · Opens Mon 08:00,http://www.lythamstannesroofing.com/,07512 524665,"info@lythamstannesroofing.com,WEBinfo@lythamstannesroofing.com",,,,
ypid:YNF4471090E7D81497,One Fit Roofing - Roofers Blackburn,"Sough Ln, Blackburn BB1 2LR",https://www.bing.com/th?id=OLC.NPfwFfc/sazEjA480x360&pid=Local,https://www.bing.com/maps?cp=53.73493957519531%7E-2.4316625595092773&lvl=16.0&q=One%20Fit%20Roofing%20-%20Roofers%20Blackburn%20%2C%20Sough%20Ln%2C%20Blackburn%20BB1%202LR,53.73493958,-2.43166256,4.5,Trustpilot (10),Home service,Open · Closes 21:00,http://onefitroofing.co.uk/,07748 710560,"emailonefitroofing@gmail.com,onefitroofing@gmail.com",https://www.facebook.com/onefitroofing/,https://www.facebook.com/onefitroofing/,,
ypid:YN2F49AD1FB5E8520E,Bryan Cooper Roofing Contractors,"41 Laurel Ave, Blackpool FY1 6QX",https://www.bing.com/th?id=OLC.rADKlskU3yz10Q480x360&pid=Local,https://www.bing.com/maps?cp=53.80291748046875%7E-3.031759023666382&lvl=16.0&q=Bryan%20Cooper%20Roofing%20Contractors%20%2C%2041%20Laurel%20Ave%2C%20Blackpool%20FY1%206QX,53.80291748,-3.031759024,,,Home service,Open · Closes 20:00,https://bryancooperroofing.co.uk/,01253 424314,,"https://facebook.com/bryancooperroofing/,https://x.com/googleworkspace,https://www.youtube.com/googleworkspace",https://facebook.com/bryancooperroofing/,,https://x.com/googleworkspace
